Date,Month,Day,Year,Day_name,url,Warm_Up,A,B
2022-01-01,January,1,2022,Saturday,https://www.crossfitinvictus.com/wod/January-1-2022-performance/,,,
2022-01-03,January,3,2022,Monday,https://www.crossfitinvictus.com/wod/January-3-2022-performance/,".
“Mind Muscle” Hip Hinge Warm-Up
Followed by…
Two Sets:
5-Pull Row Sprint Start (3/4, Half, 3/4, Full, Full)
5 Strokes at your projected pace for “Christine”. Focus on calm breathing.
Quick Release
Deadlifts x 3
Box Jumps x 3
*Practice speedy transitions throughout
Rest 30-60 seconds
Then…","“Christine”
Three rounds for time:
500 Meter Row
12 Deadlifts (Bodyweight)
21 Box Jumps (24″/20″)
Compare results to May 14, 2021.
Rest until relatively recovered, and then…","Three sets of:
Posted Single-Leg Deadlifts
x 8-10 reps each @ 3011
Rest 60 seconds
Barbell Glute Bridges
x 6-8 reps @ 20X1
Rest 60 seconds
Side Plank x 45 seconds each side
Rest 60 seconds"
2022-01-04,January,4,2022,Tuesday,https://www.crossfitinvictus.com/wod/January-4-2022-performance/,".
Shoulder Circuit
Bicep Openers
x 10 reps
Xiopang
x 10 reps
Bent Over Rows
x 10 reps
Bicep Curl + Push
x 10 reps
Followed by…
Three sets of:
Bear Crawl x 20 steps forward
Bear Crawl x 20 steps backward
(Sub Box Bear Crawls x 45-60 seconds if space is limited)
Suitcase Carry x 50′ feet each arm
(Keep the shoulders square – no leaning)
Then…","Shoulder Press
*Set 1 – 3 reps @ 60-65%
*Set 2 – 3 reps @ 65-70%
*Set 3 – 3 reps @ 70-75%
*Set 4 – 10 reps @ 70+%
*Set 5 – 10 reps @ 70+%
*Set 6 – 10 reps @ 70+%
Rest as needed
Build to the heaviest set of 10 possible.","Against a 3-minute running clock…
25/18 Calories of Assault Bike
immediately followed by as many rounds and reps as possible of:
12 Dumbbell Push Presses (50/35 lbs)
12 Push-Ups
Rest 3 minutes and repeat for a total of three (3) sets. Pick up each set of the couplet where you left off and note your total number of rounds and reps completed."
2022-01-05,January,5,2022,Wednesday,https://www.crossfitinvictus.com/wod/January-5-2022-performance/,".
4 Minutes of Calf & Hamstring Mobility of Your Choice
4 Minutes of Hip Flexor & Quad Mobility of Your Choice
Use the
Mind Muscle Playlist
for ideas!
Followed by…
Tabata Fun! x 3 sets (rest 10 seconds between stations):
Station 1 – Frog Jumps x 20 seconds
Station 2 – Rotational Medicine Ball Throws (left) x 20 seconds
Station 3 – Rotational Medicine Ball Throws (right) x 20 seconds
Then…
Every 10 minutes, for 40 minutes (4 sets) for times:
800 Meter Run
60 Double-Unders
40 Alternating Dumbbell Snatches (50/35 lbs)
20 Alternating Pistols
Note times for all four sets and then sum them for overall working time.",,
2022-01-06,January,6,2022,Thursday,https://www.crossfitinvictus.com/wod/January-6-2022-performance/,".
“Mind Muscle” Complete Snatch Warm-Up
Followed by…
Two Sets w/ PVC or empty barbell:
5 Muscle Snatch, 5 Overhead Squat
4 Power Snatch, 4 Overhead Squat
3 Squat Snatch, 3 Snatch Balances
2 Squat Snatch, 2 Press in Receiving
*Every new line means take a short break before moving to the next movements
Then…","Every 2 minutes, for 10 minutes (5 sets):
2 Snatch Lift-Offs + 1 Snatch @ 80-85% of 1-RM
(Snatch Lift-Off = floor to mid-patella, then pause for 1 second, then return to the floor)","Five rounds for time:
12 Pull-Ups
9 Deadlifts (135/95 lbs)
6 Ground to Overhead (135/95 lbs)"
2022-01-07,January,7,2022,Friday,https://www.crossfitinvictus.com/wod/January-7-2022-performance/,".
Thoracic Iso Holds
Followed by…
One Set:
Banded Dead Bug Iso Hold
x 2 minutes
Banded Clamshell Hold
x 1 minute per side
Forward Cross Crawl
x 1 minute per side
Straight Leg Iso Raise
x 1 minute per side
Cross Under Lunge
x 1 minute per side
Fire Hydrant Iso Hold
x 90 seconds per side
Followed by…
Two sets of:
Russian Baby Makers
x 10 reps
Cossack Squats
x 10 alternating reps
Then…","Three sets of:
Front-Racked Barbell Split Squats (Left) x 10 reps @ 30X1
Rest 45 seconds
Supinated-Grip Strict Pull-Ups x Max Reps in 60 seconds
Rest 45 seconds
Front-Racked Barbell Split Squats (Right) x 10 reps @ 30X1
Rest 45 seconds
Front Body Line x 15.15.15 seconds
(rest 5 seconds between 15 seconds of work)
Rest 45 seconds","Complete as many rounds and reps as possible in 10 minutes of:
10 Thrusters (95/65 lbs)
10 Bar-Facing Burpees
10 Toes to Bar"
2022-01-08,January,8,2022,Saturday,https://www.crossfitinvictus.com/wod/January-8-2022-performance/,".
Banded Scarecrow
x 30 seconds each position
Banded Hamstring Flossing
x 30-60 seconds each side
Reverse Snow Angels
x 15-20 reps
Jefferson Deadlifts x 5-10 reps
Followed by…
Three sets of the following Kettlebell Complex:
6 Bulgarian Goat Bag Swings
12 Single-Arm Kettlebell Presses (6 each arm)
12 Alternating Reverse Lunges with Goblet Hold
12 Single-Arm Kettlebell Thrusters (6 each arm)
Rest 30-60 seconds
Then…
In teams of two, complete as many rounds and reps as possible in 30 minutes of:
800 Meter Run (together)
80 Walking Lunges with Kettlebell Farmer’s Carry (20/20/20/20 – alternating partners)
400 Meter Kettlebell Farmer’s Carry (walk together – only one partner carrying KBs at a time)
40 Single-Arm Kettlebell Push Presses (10/10/10/10 – even reps per arm)
Each pair only gets one set of KBs or DBs. They should be heavy – especially on the single-arm push presses.",,
2022-01-10,January,10,2022,Monday,https://www.crossfitinvictus.com/wod/January-10-2022-performance/,".
“Mind Muscle” Complete Snatch Warm-Up
Followed by…
Two Sets w/ PVC or empty barbell:
5 Muscle Snatch, 5 Overhead Squat
4 Power Snatch, 4 Overhead Squat
3 Squat Snatch, 3 Snatch Balances
2 Squat Snatch, 2 Press in Receiving
*Every new line means take a short break before moving to the next movements
Then…","Every 3 minutes, for 15 minutes (5 sets):
3-Position Snatch @ 75-85%
(high hang, mid-thigh, and then 2″ below the knee – pause at a full stop for 1 full second in each starting position)","Against a 3-minute running clock…
400 Meter Run
Max Reps of Overhead Squats (115/75 lbs)
Rest 2 minutes, and repeat for a total of four (4) rounds."
2022-01-11,January,11,2022,Tuesday,https://www.crossfitinvictus.com/wod/January-11-2022-performance/,".
Thoracic Iso Holds
Followed by…
One Set:
Banded Dead Bug Iso Hold
x 2 minutes
Banded Clamshell Hold
x 1 minute per side
Forward Cross Crawl
x 1 minute per side
Straight Leg Iso Raise
x 1 minute per side
Cross Under Lunge
x 1 minute per side
Fire Hydrant Iso Hold
x 90 seconds per side
Followed by…
Two sets of:
Russian Baby Makers x 10 reps
Cossack Squats
x 10 alternating reps
Then…","Three sets of:
Front-Racked Alternating Reverse Lunges x 16 reps @ 30X1
(make sure your patella hovers just above the ground without making contact – goal is that the hairs on your knee touch without hard impact)
Rest 15 seconds
Horse Stance Hold x 60-75 seconds
Rest 15 seconds
Pronated-Grip Strict Pull-Ups x Max Reps in 60 seconds
Rest 60-90 seconds","Five rounds for time of:
40 Double-Unders
20 Wall Ball Shots (20/14 lbs)
10 Chest-to-Bar Pull-Ups"
2022-01-12,January,12,2022,Wednesday,https://www.crossfitinvictus.com/wod/January-12-2022-performance/,".
Shoulder Circuit
Bicep Openers
x 10 reps
Xiopang
x 10 reps
Bent Over Rows
x 10 reps
Bicep Curl + Push
x 10 reps
Followed by…
Three sets of:
Bear Crawl x 20 steps forward
Bear Crawl x 20 steps backward
(Sub Box Bear Crawls x 45-60 seconds if space is limited)
Suitcase Carry x 50′ feet each arm
(Keep the shoulders square – no leaning)
Then…","Shoulder Press
*Set 1 – 3 reps @ 60-65%
*Set 2 – 3 reps @ 65-70%
*Set 3 – 3 reps @ 70-75%
*Set 4 – 8 reps @ 75+%
*Set 5 – 8 reps @ 75+%
*Set 6 – 8 reps @ 75+%
Rest as needed
The goal is to perform sets 4-6 at 4-5% more than you used for last week’s set of 10 reps.","Complete as many rounds and reps as possible in 12 minutes of:
4 Strict Handstand Push-Ups
6 Burpee Box Jump-Overs (24″/20″)
12 Kettlebell Swings (24/16 kg)"
